series,omitted_iso3,between_share
retention_gen,NONE,0.7998025123290143
retention_gen,ARE,0.7218467937203367
retention_gen,BHR,0.8002533554267403
retention_gen,BRN,0.8016776268397945
retention_gen,JOR,0.745900179228414
retention_gen,MYS,0.792063881027499
retention_gen,NGA,0.9282196942197679
retention_gen,SAU,0.7704532931046847
retention_fam,NONE,0.7125917405245679
retention_fam,ARE,0.7881687187389174
retention_fam,BHR,0.7481248526866133
retention_fam,BRN,0.6686547609527264
retention_fam,JOR,0.6477362439349535
retention_fam,MYS,0.6799139994836856
retention_fam,NGA,0.6948377019366903
retention_fam,SAU,0.71061659939719
