iso3,period,year,quarter,penetr_gen,penetr_fam,densite_gen,densite_fam,equity_assets_gen,equity_assets_fam,retention_gen,retention_fam,opex_ratio_gen,opex_ratio_fam,invest_income_gen,invest_income_fam,operateurs_gen,operateurs_fam,gwc_gen,gwc_fam,nwc_gen,nwc_fam,gwc_gen_flux,gwc_fam_flux,nwc_gen_flux,nwc_fam_flux,wui_raw,wui_ma3,wui_global,specA,covid,ln_gwc_gen,ln_gwc_fam
BRN,2023Q2,2023,2,0.621413,0.142111,13.619892,3.114728,23.685273,21.86445,77.747556,93.0945,35.849377,22.40031,7.317756,1.64887,2,2,60663,13873,47164,12915,29101,7125,20505,6625,NA,NA,30702.4,FALSE,FALSE,10.278527816830314,8.871365005136852
BRN,2023Q3,2023,3,0.882663,0.22867,19.768747,5.121464,24.123633,21.494991,77.399205,94.629784,36.494497,21.676086,4.879107,1.596458,2,2,88050,22811,68150,21586,27387,8938,20986,8671,NA,NA,17905.28,FALSE,FALSE,10.21782372723319,9.098067129493398
BRN,2023Q4,2023,4,1.212814,0.297837,28.080058,6.843337,23.036025,21.692667,72.417348,94.686749,39.732667,23.572613,8.425961,3.146609,2,2,127069,31205,92020,29547,39019,8394,23870,7961,NA,NA,16655.52,FALSE,FALSE,10.571803985965566,9.035272443893536
JOR,2019Q1,2019,1,55560.313328,19651.858304,161.361806,57.07418,50.046082,20.243979,52.772372,71.459818,31.24819,25.17701,8.0031,25,3,3,17030125,6023609,14758831,5068798,17030125,6023609,14758831,5068798,0,0,36588.02,TRUE,FALSE,16.65049439260019,15.6111971393168
JOR,2019Q2,2019,2,100430.522387,21609.684323,291.676729,62.760224,50.566156,20.319409,51.625546,63.287409,31.889669,30.251615,8.869485,3.25,3,3,30783562,6623714,27538585,5225631,13753437,600105,12779754,156833,0,0,40489.04,TRUE,FALSE,16.436799314477515,13.30485991888757
JOR,2019Q3,2019,3,152874.107714,24586.817654,443.986735,71.406604,50.990371,21.695409,52.291593,56.435221,30.690867,29.992281,8.090406,3.1,3,3,46858360,7536253,42002479,5803152,16074798,912539,14463894,577521,0,0,32800.98,TRUE,FALSE,16.59276326191258,13.723986103251494
JOR,2019Q4,2019,4,194032.308848,27243.053426,587.41011,82.475156,53.336902,24.252651,53.049432,59.176065,29.760809,29.362574,6.222565,2.5,3,3,61995263,8704428,56046325,7405963,15136903,1168175,14043846,1602811,0,0,52716.26,TRUE,FALSE,16.532646227585172,13.970953259914223
JOR,2020Q1,2020,1,63387.815718,20421.780226,187.424033,60.382778,48.730078,21.318621,46.143801,58.162291,32.537933,30.272659,5.477348,3,3,3,20253041,6524963,17942969,4860015,20253041,6524963,17942969,4860015,0,0,55684.71,TRUE,TRUE,16.823815513081517,15.69114584065887
JOR,2020Q2,2020,2,92938.30553,23571.584614,274.798427,69.696067,49.269421,20.429824,51.709321,53.897883,35.236035,36.17131,5.910676,3,3,3,29694718,7531357,26648441,5833580,9441677,1006394,8705472,973565,0,0,28914.37,TRUE,TRUE,16.060644170649176,13.821884203066345
JOR,2020Q3,2020,3,139797.715251,28037.795374,413.351545,82.901684,50.108532,15.007774,51.946872,50.57707,36.251511,35.63083,5.59656,2.8,3,3,44666768,8958356,39968326,7169264,14972050,1426999,13319885,1335684,0,0,27497.73,TRUE,TRUE,16.521695687568073,14.17108419568788
JOR,2020Q4,2020,4,183767.255627,33867.079482,531.967601,98.038081,55.288886,10.555687,53.254984,47.778246,32.875858,42.472032,5.655012,3,3,3,57484419,10593995,52060355,8815627,12817651,1635639,12092029,1646363,0,0,22319.62,TRUE,TRUE,16.36633376333908,14.307544111649097
JOR,2021Q1,2021,1,61387.217841,22291.97183,177.7031,64.530576,50.946747,10.420949,45.657246,59.46959,37.463645,29.429711,4.309471,0.75,3,3,19202597,6973174,16885814,5067442,19202597,6973174,16885814,5067442,0,0,11888.73,TRUE,TRUE,16.77055608826781,15.75758105928347
JOR,2021Q2,2021,2,99654.564577,26404.346394,288.47903,76.435036,53.938544,-7.259687,47.660918,54.539256,37.607263,33.119705,7.150031,1.5,3,3,31173044,8259570,28000509,6161746,11970447,1286396,11114695,1094304,0.0475647,0.0095129,18072.81,TRUE,TRUE,16.297951420195307,14.067355067949268
JOR,2021Q3,2021,3,149592.095547,32047.56866,433.037692,92.770979,53.564062,-3.640154,59.739014,50.5357,29.835818,34.555327,6.422637,2.25,3,3,46794053,10024832,41975961,7395658,15621009,1765262,13975452,1233912,0.221533,0.0490631,21508.56,TRUE,FALSE,16.564127296960475,14.383809679259468
JOR,2021Q4,2021,4,185225.938664,37016.258099,553.722025,110.657922,59.498518,-0.922184,52.009008,47.127026,31.821668,43.326875,5.978237,3,3,3,59835202,11957695,54176910,8970655,13041149,1932863,12200949,1574997,0.0720981,0.0381584,19802.65,TRUE,FALSE,16.383620224077948,14.474512881390096
JOR,2022Q1,2022,1,160770.727373,26547.59642,480.614612,79.362475,53.789538,-4.497892,46.609937,47.105747,15.29502,34.395677,5.361594,4,3,3,51935215,8575909,49458791,5180490,51935215,8575909,49458791,5180490,0.0636618,0.0273266,26455.02,TRUE,FALSE,17.765507634425603,15.96446755122896
JOR,2022Q2,2022,2,169597.460369,33286.603166,507.00161,99.508338,53.862007,-4.381876,49.716358,42.745607,22.683681,37.909224,6.356638,2,3,3,54786594,10752871,51377233,6849610,2851379,2176962,1918442,1669120,0.1968762,0.0481447,29343.64,TRUE,FALSE,14.863313294871622,14.593440884850743
JOR,2022Q3,2022,3,184387.785995,40221.480998,551.216417,120.239746,53.293369,-4.449974,52.507491,39.936899,27.789515,38.068303,4.913336,1.333333,3,3,59564446,12993107,54333593,8523811,4777852,2240236,2956360,1674201,0.1098841,0.0437865,24504.76,TRUE,FALSE,15.379501631084674,14.622091775424407
JOR,2022Q4,2022,4,214456.343965,44740.856944,668.603276,139.487053,55.706221,-2.266165,59.072533,37.264989,23.329177,46.676296,4.680789,4.2,3,3,72249270,15072971,66229761,10027301,12684824,2079864,11896168,1503490,0.1845359,0.0544581,26500.43,TRUE,FALSE,16.35591687626416,14.54781306492445
